"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3010000","CDFI2260032018000004","20180626","","01","영업/정상","13","영업중","","","","","02-2079-8500","","","서울특별시 중구 남학동 13-2","서울특별시 중구 퇴계로 176 (남학동)","04627","디어스명동","20210526151321","U","2020-12-04 22:08:00.0","","199161.113140526","450949.233944936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032015000008","20150223","","01","영업/정상","13","영업중","","","","","2269-5588","","100861","서울특별시 중구 충무로2가 51-17","서울특별시 중구 퇴계로 159-8 (충무로2가)","04553","탕파스 호스텔","20210616111630","U","2020-12-05 23:08:00.0","","199037.916477276","451051.291993868","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3190000","CDFI2260032013000001","20131008","","01","영업/정상","13","영업중","","","","","588-2000","","156827","서울특별시 동작구 사당동 1043-6","서울특별시 동작구 동작대로1길 15 (사당동)","07025","주식회사 에스알호텔","20210715143411","U","2020-12-06 23:07:00.0","","198197.366312126","441663.188965473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032003000002","20031210","","03","폐업","03","폐업","20120830","","","","02-763-3233","","110450","서울특별시 종로구 원남동 36번지 ","서울특별시 종로구 율곡로 176  (원남동)","","비원관광호텔","20120905092714","I","2018-08-31 23:59:59.0","","199775.901529928    ","452592.4422331      ","관광숙박업","관광사업","","15","","","","","13","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260032003000001","20030711","","03","폐업","03","폐업","20051230","","","","02-2287-6070","","110846","서울특별시 종로구 평창동 108-2번지 ","","","(주)올림피아스위트","20051230180629","I","2018-08-31 23:59:59.0","","197949.002174181    ","456478.436790904    ","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2260031974000001","19740401","","03","폐업","03","폐업","20080104","","","","02-735-9001","","110130","서울특별시 종로구 청진동 92번지 ","","","서울","20080104142913","I","2018-08-31 23:59:59.0","","","","관광숙박업","관광사업","","10","","","","","8","2","","","","","","","","","","","","5358.27","","","","","","","","","","","","","5358",""
"3000000","CDFI2260032015000007","20151229","","03","폐업","03","폐업","20200330","","","","02  22318723","","","서울특별시 종로구 숭인동 207-32번지 ","'서울특별시 종로구 난계로29길 55 (숭인동 베니키아호텔동대문)'","03115","베니키아 프리미어 호텔 동대문","20200330150938","U","2020-04-01 02:40:00.0","","201712.855210767    ","452371.734482943    ","관광숙박업","","상업지역","18","","","","","18","3","237","","Benikea Premier Hotel Dongdaemun","Tourist Accomodation Business","","","","","","","","9928.87","","","","","","","","","9000000000","","","","9929","관광호텔업"
"3010000","CDFI2260032008000001","20080111","20110105","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","100130","서울특별시 중구 순화동 151번지 외 1필지 C동 ","'서울특별시 중구 칠패로 27  (순화동외 1필지 C동)'","","라마다호텔앤스위트 서울센트럴","20110106090718","I","2018-08-31 23:59:59.0","","197462.198757043    ","450878.211786274    ","관광숙박업","관광사업","일반상업지역","28","기타","","","숙박시설","25","3","","","","","","","","","","","","25524.92","","","","","","","","","100000000","","","","25525",""
"3150000","CDFI2260032003000006","20030903","","01","영업/정상","13","영업중","","","","","02-2662-6118","","157290","서울특별시 강서구 외발산동 215","서울특별시 강서구 남부순환로 196 (외발산동)","157290","티제이 관광호텔","20210806085830","U","2020-12-08 00:08:00.0","","184029.320078984","449535.607231956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032017000002","20170213","","01","영업/정상","13","영업중","","","","","02-774-1212","","","서울특별시 중구 남산동2가 36-6","서울특별시 중구 소공로6길 29 (남산동2가)","04631","24게스트하우스 남산점","20201223180705","U","2019-11-01 22:05:00.0","","198584.404622916","450706.008067198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
